"feature"	"imp_rank_raw"	"imp_rank"	"imp_sign"	"dat"	"seed"	"imp_rank_frac_raw"	"imp_rank_frac"
"94"	"linezolid30yes"	61	51	"Positive"	"infection_patient-kleborate_lr"	"1"	0.802631578947368	0.671052631578947
"95"	"wziwzi154"	43	4	"Positive"	"infection_patient-kleborate_lr"	"1"	0.565789473684211	0.0526315789473684
"96"	"MLS.MphA"	5	60	"Negative"	"infection_patient-kleborate_lr"	"1"	0.0657894736842105	0.789473684210526
"97"	"AGly.AadA5"	31.5	20.5	"Negative"	"infection_patient-kleborate_lr"	"1"	0.414473684210526	0.269736842105263
"98"	"Bla_CarbKPC.2"	50	15	"Positive"	"infection_patient-kleborate_lr"	"1"	0.657894736842105	0.197368421052632
"99"	"Yersiniabactin.ybt_17"	28	26	"Negative"	"infection_patient-kleborate_lr"	"1"	0.368421052631579	0.342105263157895
"100"	"Tmt.DfrA17"	31.5	20.5	"Negative"	"infection_patient-kleborate_lr"	"1"	0.414473684210526	0.269736842105263
"101"	"Yersiniabactin.ybt_0"	71	70	"Positive"	"infection_patient-kleborate_lr"	"1"	0.934210526315789	0.921052631578947
"102"	"Sul.SulI"	33	18	"Negative"	"infection_patient-kleborate_lr"	"1"	0.434210526315789	0.236842105263158
"103"	"third_gen_ceph30yes"	51	19	"Positive"	"infection_patient-kleborate_lr"	"1"	0.671052631578947	0.25
"104"	"cefepime30yes"	20	39	"Negative"	"infection_patient-kleborate_lr"	"1"	0.263157894736842	0.513157894736842
"105"	"FQ30yes"	25	34	"Negative"	"infection_patient-kleborate_lr"	"1"	0.328947368421053	0.447368421052632
"106"	"foleyyes"	72	71	"Positive"	"infection_patient-kleborate_lr"	"1"	0.947368421052632	0.934210526315789
"107"	"malignancyyes"	3	65	"Negative"	"infection_patient-kleborate_lr"	"1"	0.0394736842105263	0.855263157894737
"108"	"TetTetA"	16	43	"Negative"	"infection_patient-kleborate_lr"	"1"	0.210526315789474	0.565789473684211
"109"	"virulence_score"	49	14	"Positive"	"infection_patient-kleborate_lr"	"1"	0.644736842105263	0.184210526315789
"110"	"O_locus_missing_genes.O1.O2v2_07_kfoC"	76	75	"Positive"	"infection_patient-kleborate_lr"	"1"	1	0.986842105263158
"111"	"tobra30yes"	35	16	"Negative"	"infection_patient-kleborate_lr"	"1"	0.460526315789474	0.210526315789474
"112"	"Bla.OXA.9"	37	9	"Negative"	"infection_patient-kleborate_lr"	"1"	0.486842105263158	0.118421052631579
"113"	"flagyl30yes"	23	36	"Negative"	"infection_patient-kleborate_lr"	"1"	0.302631578947368	0.473684210526316
"114"	"wziwzi29"	40	2	"Negative"	"infection_patient-kleborate_lr"	"1"	0.526315789473684	0.0263157894736842
"115"	"AGly.Aac3.Iva"	18	41	"Negative"	"infection_patient-kleborate_lr"	"1"	0.236842105263158	0.539473684210526
"116"	"Bla_broadSHV.11"	2	67	"Negative"	"infection_patient-kleborate_lr"	"1"	0.0263157894736842	0.881578947368421
"117"	"AGly.AadA1.pm"	45	8	"Positive"	"infection_patient-kleborate_lr"	"1"	0.592105263157895	0.105263157894737
"118"	"levo30yes"	48	13	"Positive"	"infection_patient-kleborate_lr"	"1"	0.631578947368421	0.171052631578947
"119"	"poly_colistin30yes"	62	54	"Positive"	"infection_patient-kleborate_lr"	"1"	0.815789473684211	0.710526315789474
"120"	"Bla.SHV.187"	55	28	"Positive"	"infection_patient-kleborate_lr"	"1"	0.723684210526316	0.368421052631579
"121"	"age"	11	50	"Negative"	"infection_patient-kleborate_lr"	"1"	0.144736842105263	0.657894736842105
"122"	"obeseyes"	7	58	"Negative"	"infection_patient-kleborate_lr"	"1"	0.0921052631578947	0.763157894736842
"123"	"decubyes"	69	68	"Positive"	"infection_patient-kleborate_lr"	"1"	0.907894736842105	0.894736842105263
"124"	"colistin30yes"	36	11	"Negative"	"infection_patient-kleborate_lr"	"1"	0.473684210526316	0.144736842105263
"125"	"AGly.StrB"	9.5	52.5	"Negative"	"infection_patient-kleborate_lr"	"1"	0.125	0.690789473684211
"126"	"carbapenem30yes"	47	12	"Positive"	"infection_patient-kleborate_lr"	"1"	0.618421052631579	0.157894736842105
"127"	"Bla_CarbKPC.3"	4	61	"Negative"	"infection_patient-kleborate_lr"	"1"	0.0526315789473684	0.802631578947368
"128"	"amikacin30yes"	64	56	"Positive"	"infection_patient-kleborate_lr"	"1"	0.842105263157895	0.736842105263158
"129"	"AGly.Aph4.Ia"	18	41	"Negative"	"infection_patient-kleborate_lr"	"1"	0.236842105263158	0.539473684210526
"130"	"resp_failureyes"	38	6	"Negative"	"infection_patient-kleborate_lr"	"1"	0.5	0.0789473684210526
"131"	"tigecycline30yes"	70	69	"Positive"	"infection_patient-kleborate_lr"	"1"	0.921052631578947	0.907894736842105
"132"	"gastroyes"	75	74	"Positive"	"infection_patient-kleborate_lr"	"1"	0.986842105263158	0.973684210526316
"133"	"zosyn30yes"	44	7	"Positive"	"infection_patient-kleborate_lr"	"1"	0.578947368421053	0.0921052631578947
"134"	"num_resistance_classes"	22	37	"Negative"	"infection_patient-kleborate_lr"	"1"	0.289473684210526	0.486842105263158
"135"	"Sul.SulIII"	18	41	"Negative"	"infection_patient-kleborate_lr"	"1"	0.236842105263158	0.539473684210526
"136"	"brain_injuryyes"	60	49	"Positive"	"infection_patient-kleborate_lr"	"1"	0.789473684210526	0.644736842105263
"137"	"meropenem30yes"	63	55	"Positive"	"infection_patient-kleborate_lr"	"1"	0.828947368421053	0.723684210526316
"138"	"central_lineyes"	74	73	"Positive"	"infection_patient-kleborate_lr"	"1"	0.973684210526316	0.960526315789474
"139"	"AG30yes"	53	25	"Positive"	"infection_patient-kleborate_lr"	"1"	0.697368421052632	0.328947368421053
"140"	"K_locusKL107"	42	3	"Positive"	"infection_patient-kleborate_lr"	"1"	0.552631578947368	0.0394736842105263
"141"	"Sul.SulII"	8	57	"Negative"	"infection_patient-kleborate_lr"	"1"	0.105263157894737	0.75
"142"	"Phe.CatA1"	6	59	"Negative"	"infection_patient-kleborate_lr"	"1"	0.0789473684210526	0.776315789473684
"143"	"vanco30yes"	56	29	"Positive"	"infection_patient-kleborate_lr"	"1"	0.736842105263158	0.381578947368421
"144"	"Bla_broad_inhR.TEM.54"	39	5	"Negative"	"infection_patient-kleborate_lr"	"1"	0.513157894736842	0.0657894736842105
"145"	"ColMgrB.trunc"	46	10	"Positive"	"infection_patient-kleborate_lr"	"1"	0.605263157894737	0.131578947368421
"146"	"trachyes"	1	76	"Negative"	"infection_patient-kleborate_lr"	"1"	0.0131578947368421	1
"147"	"Colibactinclb.3"	66	63	"Positive"	"infection_patient-kleborate_lr"	"1"	0.868421052631579	0.828947368421053
"148"	"VDRFyes"	67	64	"Positive"	"infection_patient-kleborate_lr"	"1"	0.881578947368421	0.842105263157895
"149"	"AGly.Aph3.Ia"	15	44	"Negative"	"infection_patient-kleborate_lr"	"1"	0.197368421052632	0.578947368421053
"150"	"lung_dzyes"	34	17	"Negative"	"infection_patient-kleborate_lr"	"1"	0.447368421052632	0.223684210526316
"151"	"Flq.GyrA.87N"	58	33	"Positive"	"infection_patient-kleborate_lr"	"1"	0.763157894736842	0.434210526315789
"152"	"sexmale"	30	23	"Negative"	"infection_patient-kleborate_lr"	"1"	0.394736842105263	0.302631578947368
"153"	"Bias"	29	24	"Negative"	"infection_patient-kleborate_lr"	"1"	0.381578947368421	0.315789473684211
"154"	"AKIyes"	65	55	"Positive"	"infection_patient-kleborate_lr"	"10"	0.855263157894737	0.723684210526316
"155"	"Bla_broadSHV.11"	6	66	"Negative"	"infection_patient-kleborate_lr"	"10"	0.0789473684210526	0.868421052631579
"156"	"AGly.Aph3.Ia"	15	45	"Negative"	"infection_patient-kleborate_lr"	"10"	0.197368421052632	0.592105263157895
"157"	"Bla_CarbKPC.2"	54	32	"Positive"	"infection_patient-kleborate_lr"	"10"	0.710526315789474	0.421052631578947
"158"	"AGly.AadA2"	22	33	"Negative"	"infection_patient-kleborate_lr"	"10"	0.289473684210526	0.434210526315789
"159"	"resistance_score"	45	14	"Positive"	"infection_patient-kleborate_lr"	"10"	0.592105263157895	0.184210526315789
"160"	"CKDyes"	66	56	"Positive"	"infection_patient-kleborate_lr"	"10"	0.868421052631579	0.736842105263158
"161"	"Tmt.DfrA17"	16.5	41.5	"Negative"	"infection_patient-kleborate_lr"	"10"	0.217105263157895	0.546052631578947
"162"	"Yersiniabactin.ybt_17"	34	9	"Negative"	"infection_patient-kleborate_lr"	"10"	0.447368421052632	0.118421052631579
"163"	"anti_pseudo30yes"	9	59	"Negative"	"infection_patient-kleborate_lr"	"10"	0.118421052631579	0.776315789473684
"164"	"levo30yes"	39	3	"Negative"	"infection_patient-kleborate_lr"	"10"	0.513157894736842	0.0394736842105263
"165"	"obeseyes"	2	72	"Negative"	"infection_patient-kleborate_lr"	"10"	0.0263157894736842	0.947368421052632
"166"	"AG30yes"	70	64	"Positive"	"infection_patient-kleborate_lr"	"10"	0.921052631578947	0.842105263157895
"167"	"resp_failureyes"	41	1	"Negative"	"infection_patient-kleborate_lr"	"10"	0.539473684210526	0.0131578947368421
"168"	"wziwzi154"	37	5	"Negative"	"infection_patient-kleborate_lr"	"10"	0.486842105263158	0.0657894736842105
"169"	"CHFyes"	38	4	"Negative"	"infection_patient-kleborate_lr"	"10"	0.5	0.0526315789473684
"170"	"virulence_score"	44	12	"Positive"	"infection_patient-kleborate_lr"	"10"	0.578947368421053	0.157894736842105
"171"	"Bla.SHV.187"	43	11	"Positive"	"infection_patient-kleborate_lr"	"10"	0.565789473684211	0.144736842105263
"172"	"tigecycline30yes"	74	73	"Positive"	"infection_patient-kleborate_lr"	"10"	0.973684210526316	0.960526315789474
"173"	"colistin30yes"	14	46	"Negative"	"infection_patient-kleborate_lr"	"10"	0.184210526315789	0.605263157894737
"174"	"decubyes"	55	36	"Positive"	"infection_patient-kleborate_lr"	"10"	0.723684210526316	0.473684210526316
"175"	"zosyn30yes"	50	22	"Positive"	"infection_patient-kleborate_lr"	"10"	0.657894736842105	0.289473684210526
"176"	"Bla.OXA.9"	49	20	"Positive"	"infection_patient-kleborate_lr"	"10"	0.644736842105263	0.263157894736842
"177"	"ctx30yes"	61	49	"Positive"	"infection_patient-kleborate_lr"	"10"	0.802631578947368	0.644736842105263
"178"	"tobra30yes"	27	25	"Negative"	"infection_patient-kleborate_lr"	"10"	0.355263157894737	0.328947368421053
"179"	"AGly.StrB"	30.5	16.5	"Negative"	"infection_patient-kleborate_lr"	"10"	0.401315789473684	0.217105263157895
"180"	"Colibactinclb.3"	62	50	"Positive"	"infection_patient-kleborate_lr"	"10"	0.815789473684211	0.657894736842105
"181"	"meropenem30yes"	12	51	"Negative"	"infection_patient-kleborate_lr"	"10"	0.157894736842105	0.671052631578947
"182"	"pseudoPCN30yes"	18	39	"Negative"	"infection_patient-kleborate_lr"	"10"	0.236842105263158	0.513157894736842
"183"	"third_gen_ceph30yes"	36	6	"Negative"	"infection_patient-kleborate_lr"	"10"	0.473684210526316	0.0789473684210526
"184"	"Flq.GyrA.87N"	73	68	"Positive"	"infection_patient-kleborate_lr"	"10"	0.960526315789474	0.894736842105263
"185"	"K_locusKL107"	57	40	"Positive"	"infection_patient-kleborate_lr"	"10"	0.75	0.526315789473684
"186"	"vanco30yes"	59	44	"Positive"	"infection_patient-kleborate_lr"	"10"	0.776315789473684	0.578947368421053
"187"	"central_lineyes"	75	74	"Positive"	"infection_patient-kleborate_lr"	"10"	0.986842105263158	0.973684210526316
"188"	"AGly.Aac3.Iva"	23.5	30.5	"Negative"	"infection_patient-kleborate_lr"	"10"	0.309210526315789	0.401315789473684
"189"	"Sul.SulIII"	13	47	"Negative"	"infection_patient-kleborate_lr"	"10"	0.171052631578947	0.618421052631579
"190"	"poly_colistin30yes"	71	65	"Positive"	"infection_patient-kleborate_lr"	"10"	0.934210526315789	0.855263157894737
"191"	"brain_injuryyes"	56	37	"Positive"	"infection_patient-kleborate_lr"	"10"	0.736842105263158	0.486842105263158
"192"	"Tmt.DfrA12"	58	43	"Positive"	"infection_patient-kleborate_lr"	"10"	0.763157894736842	0.565789473684211
"193"	"MLS.MphA"	42	8	"Positive"	"infection_patient-kleborate_lr"	"10"	0.552631578947368	0.105263157894737
"194"	"AGly.StrA"	30.5	16.5	"Negative"	"infection_patient-kleborate_lr"	"10"	0.401315789473684	0.217105263157895
"195"	"AGly.AadA5"	16.5	41.5	"Negative"	"infection_patient-kleborate_lr"	"10"	0.217105263157895	0.546052631578947
"196"	"underweightyes"	21	34	"Negative"	"infection_patient-kleborate_lr"	"10"	0.276315789473684	0.447368421052632
"197"	"Sul.SulII"	33	10	"Negative"	"infection_patient-kleborate_lr"	"10"	0.434210526315789	0.131578947368421
"198"	"LOSbeforeCx"	72	67	"Positive"	"infection_patient-kleborate_lr"	"10"	0.947368421052632	0.881578947368421
"199"	"Bla_broad_inhR.TEM.54"	60	48	"Positive"	"infection_patient-kleborate_lr"	"10"	0.789473684210526	0.631578947368421
"200"	"linezolid30yes"	53	28	"Positive"	"infection_patient-kleborate_lr"	"10"	0.697368421052632	0.368421052631579
"201"	"Phe.CatA1"	4	70	"Negative"	"infection_patient-kleborate_lr"	"10"	0.0526315789473684	0.921052631578947
"202"	"lung_dzyes"	48	19	"Positive"	"infection_patient-kleborate_lr"	"10"	0.631578947368421	0.25
"203"	"AGly.Aph4.Ia"	23.5	30.5	"Negative"	"infection_patient-kleborate_lr"	"10"	0.309210526315789	0.401315789473684
"204"	"num_resistance_genes"	20	35	"Negative"	"infection_patient-kleborate_lr"	"10"	0.263157894736842	0.460526315789474
"205"	"VDRFyes"	25	29	"Negative"	"infection_patient-kleborate_lr"	"10"	0.328947368421053	0.381578947368421
"206"	"TetTetA"	8	60	"Negative"	"infection_patient-kleborate_lr"	"10"	0.105263157894737	0.789473684210526
"207"	"wziwzi29"	51	23	"Positive"	"infection_patient-kleborate_lr"	"10"	0.671052631578947	0.302631578947368
"208"	"carbapenem30yes"	52	26	"Positive"	"infection_patient-kleborate_lr"	"10"	0.684210526315789	0.342105263157895
"209"	"age"	5	69	"Negative"	"infection_patient-kleborate_lr"	"10"	0.0657894736842105	0.907894736842105
"210"	"Tmt.DfrA14"	7	63	"Negative"	"infection_patient-kleborate_lr"	"10"	0.0921052631578947	0.828947368421053
"211"	"sexmale"	28	24	"Negative"	"infection_patient-kleborate_lr"	"10"	0.368421052631579	0.315789473684211
"212"	"Yersiniabactin.ybt_0"	69	62	"Positive"	"infection_patient-kleborate_lr"	"10"	0.907894736842105	0.815789473684211
"213"	"Sul.SulI"	11	52	"Negative"	"infection_patient-kleborate_lr"	"10"	0.144736842105263	0.684210526315789
"214"	"Bla_CarbKPC.3"	10	57	"Negative"	"infection_patient-kleborate_lr"	"10"	0.131578947368421	0.75
"215"	"malignancyyes"	3	71	"Negative"	"infection_patient-kleborate_lr"	"10"	0.0394736842105263	0.934210526315789
"216"	"num_resistance_classes"	26	27	"Negative"	"infection_patient-kleborate_lr"	"10"	0.342105263157895	0.355263157894737
"217"	"ColMgrB.trunc"	46	15	"Positive"	"infection_patient-kleborate_lr"	"10"	0.605263157894737	0.197368421052632
"218"	"O_locus_missing_genes.O1.O2v2_07_kfoC"	76	75	"Positive"	"infection_patient-kleborate_lr"	"10"	1	0.986842105263158
"219"	"gastroyes"	68	61	"Positive"	"infection_patient-kleborate_lr"	"10"	0.894736842105263	0.802631578947368
"220"	"trachyes"	1	76	"Negative"	"infection_patient-kleborate_lr"	"10"	0.0131578947368421	1
"221"	"AGly.AadA1.pm"	19	38	"Negative"	"infection_patient-kleborate_lr"	"10"	0.25	0.5
"222"	"Yersiniabactin._ICEKp10"	67	58	"Positive"	"infection_patient-kleborate_lr"	"10"	0.881578947368421	0.763157894736842
"223"	"Flq.GyrA.87Y"	29	21	"Negative"	"infection_patient-kleborate_lr"	"10"	0.381578947368421	0.276315789473684
"224"	"foleyyes"	63	53	"Positive"	"infection_patient-kleborate_lr"	"10"	0.828947368421053	0.697368421052632
"225"	"FQ30yes"	32	13	"Negative"	"infection_patient-kleborate_lr"	"10"	0.421052631578947	0.171052631578947
"226"	"amikacin30yes"	64	54	"Positive"	"infection_patient-kleborate_lr"	"10"	0.842105263157895	0.710526315789474
"227"	"flagyl30yes"	40	2	"Negative"	"infection_patient-kleborate_lr"	"10"	0.526315789473684	0.0263157894736842
"228"	"cefepime30yes"	35	7	"Negative"	"infection_patient-kleborate_lr"	"10"	0.460526315789474	0.0921052631578947
